from,to,cost
1,2,116
2,3,122
3,4,136
4,5,107
4,14,29
5,16,12
7,6,130
8,7,140
9,8,89
10,9,88
11,10,96
11,16,47
12,13,67
12,5,40
13,14,68
13,9,9
14,15,55
17,16,58
18,17,56
18,8,15
